"","name_of_the_Anime","Genre","Votings","stars","description"
"1","Death Note: Desu nôto","
Animation, Crime, Drama            ","
                Votes:
                361,720
            
        ","
            
    Stars:
Mamoru Miyano, 
Brad Swaile, 
Vincent Tong, 
Ryô Naitô
    ","
An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it."
"2","Code Geass: Hangyaku no Lelouch","
Animation, Action, Drama            ","
                Votes:
                76,776
            
        ","
            
    Stars:
Jun Fukuyama, 
Takahiro Sakurai, 
Johnny Yong Bosch, 
Yukana
    ","
After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire."
"3","No Game, No Life","
Animation, Adventure, Comedy            ","
                Votes:
                17,754
            
        ","
            
    Stars:
Yoshitsugu Matsuoka, 
Ai Kayano, 
Yôko Hikasa, 
Scott Gibbs
    ","
Siblings Sora and Shiro make up the most feared team of pro gamers in the world, The Blank. When they manage to beat God himself in a game of chess, they are sent to a world where all disputes are settled with games."
"4","Shingeki no Kyojin","
Animation, Action, Adventure            ","
                Votes:
                466,861
            
        ","
            
    Stars:
Jessie James Grelle, 
Bryce Papenbrook, 
Yûki Kaji, 
Yui Ishikawa
    ","
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
"5","Mirai nikki","
Animation, Action, Drama            ","
                Votes:
                19,347
            
        ","
            
    Stars:
Brina Palencia, 
Jessie James Grelle, 
Leah Clark, 
Emily Neves
    ","
A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future."
"6","Darker Than Black: Kuro no keiyakusha","
Animation, Action, Drama            ","
                Votes:
                12,294
            
        ","
            
    Stars:
Jason Liebrecht, 
Kate Oxley, 
Christopher Sabat, 
Brina Palencia
    ","
In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is ...                See full summary »
"
"7","Hagane no renkinjutsushi","
Animation, Action, Adventure            ","
                Votes:
                189,343
            
        ","
            
    Stars:
Kent Williams, 
Iemasa Kayumi, 
Matthew Leonhart, 
Vic Mignogna
    ","
Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms."
"8","Aldnoah.Zero","
Animation, Action, Adventure            ","
                Votes:
                2,401
            
        ","
            
    Stars:
Matthew Mercer, 
Erica Lindbeck, 
Bryce Papenbrook, 
Zach Aguilar
    ","
In 1972, an ancient alien hypergate was discovered on the surface of the moon. Using this technology, humanity began migrating to Mars and settling there. After settlers discovered ...                See full summary »
"
"9","Kiseijû: Sei no kakuritsu","
Animation, Action, Drama            ","
                Votes:
                45,352
            
        ","
            
    Stars:
Aya Hirano, 
Nobunaga Shimazaki, 
Rinka H.B.B., 
Brittney Karbowski
    ","
17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and a human as part monster, part person."
"10","Steins;Gate","
Animation, Comedy, Drama            ","
                Votes:
                70,253
            
        ","
            
    Stars:
Mamoru Miyano, 
Asami Imai, 
Kana Hanazawa, 
Ashly Burch
    ","
After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
"11","Angel Beats!","
Animation, Action, Comedy            ","
                Votes:
                15,710
            
        ","
            
    Stars:
Hiroshi Kamiya, 
Harumi Sakurai, 
Kana Hanazawa, 
Ryohei Kimura
    ","
Rebellious teens fight in armed combat against one dispassionate girl's supernatural powers in an afterlife high school."
"12","One Punch Man: Wanpanman","
Animation, Action, Comedy            ","
                Votes:
                179,473
            
        ","
            
    Stars:
Makoto Furukawa, 
Kaito Ishikawa, 
Max Mittelman, 
Zach Aguilar
    ","
The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
"13","One Outs","
Animation, Drama, Sport            ","
                Votes:
                1,830
            
        ","
            
    Stars:
Masato Hagiwara, 
Tsutomu Isobe, 
Kappei Yamaguchi, 
Kenji Utsumi
    ","
Hiromichi Kojima, the star batter of the Lycaons, heads to the southern Japanese island of Okinawa to train and find a new pitcher for the team. There, he meets Toa Tokuchi, a 134-kmph ...                See full summary »
"
"14","Tokyo Ghoul","
Animation, Action, Drama            ","
                Votes:
                61,555
            
        ","
            
    Stars:
Natsuki Hanae, 
Austin Tindle, 
Brina Palencia, 
Sora Amamiya
    ","
A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run."
"15","Sword Art Online","
Animation, Action, Adventure            ","
                Votes:
                50,661
            
        ","
            
    Stars:
Yoshitsugu Matsuoka, 
Haruka Tomatsu, 
Bryce Papenbrook, 
Cherami Leigh
    ","
In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape."
"16","Haikyuu!!","
Animation, Comedy, Drama            ","
                Votes:
                32,470
            
        ","
            
    Stars:
Ayumu Murase, 
Kaito Ishikawa, 
Yu Hayashi, 
Satoshi Hino
    ","
Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club."
"17","Yowamushi pedaru","
Animation, Comedy, Drama            ","
                Votes:
                968
            
        ","
            
    Stars:
Daiki Yamashita, 
Kôsuke Toriumi, 
Jun Fukushima, 
Ayaka Suwa
    ","
Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and somehow he stumbled into the bicycle club."
"18","Zetsuen No Tempest","
Animation, Action, Fantasy            ","
                Votes:
                1,557
            
        ","
            
    Stars:
Kôki Uchiyama, 
Toshiyuki Toyonaga, 
Miyuki Sawashiro, 
Rikiya Koyama
    ","
Two teenage boys, Mahiro and Yoshino, try to find out more about the mysterious murder of Mahiro's sister and at the same time save the world with the help of a mage girl who's stranded on a deserted island. Together they shall have to overcome logic itself."
"19","Log Horizon","
Animation, Action, Adventure            ","
                Votes:
                4,617
            
        ","
            
    Stars:
Jad Saxton, 
Mike Yager, 
Jôji Nakata, 
Andrew Love
    ","
Elder Tale is an online fantasy RPG that has become popular worldwide. But when its twelfth expansion package, ""Novasphere Pioneers"" is installed, thirty thousand players in Japan are ...                See full summary »
"
"20","Ajin","
Animation, Action, Adventure            ","
                Votes:
                6,868
            
        ","
            
    Stars:
Mamoru Miyano, 
Johnny Yong Bosch, 
Todd Haberkorn, 
Kaiji Tang
    ","
A high school student discovers he is an Ajin, a demi-human being. He ends up a fugitive on the run because of his powers."
"21","Shigatsu wa kimi no uso","
Animation, Comedy, Drama            ","
                Votes:
                35,556
            
        ","
            
    Stars:
Natsuki Hanae, 
Risa Taneda, 
Ayane Sakura, 
Ryôta Ôsaka
    ","
A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own."
